iter	RMSE
0	14.61274442
1	14.28022074
2	13.90930563
3	13.58879872
4	13.30825001
5	12.99372638
6	12.68569369
7	12.39615858
8	12.08502509
9	11.82473292
10	11.56063681
11	11.34796594
12	11.11584985
13	10.87944447
14	10.65034292
15	10.41369234
16	10.191904
17	9.987441787
18	9.775958214
19	9.581989976
20	9.385848703
21	9.232813366
22	9.066805742
23	8.901703396
24	8.761521114
25	8.625703738
26	8.476130666
27	8.351232133
28	8.225442927
29	8.114532367
30	7.984668452
31	7.865433498
32	7.750149397
33	7.645153142
34	7.537453871
35	7.444612936
36	7.33849376
37	7.250424622
38	7.160965598
39	7.084347791
40	6.998849062
41	6.928460472
42	6.866018245
43	6.800898129
44	6.736196473
45	6.666137016
46	6.60829193
47	6.541474919
48	6.490249855
49	6.441769471
50	6.392667468
51	6.342903591
52	6.299349272
53	6.251132378
54	6.202904016
55	6.169784274
56	6.12993775
57	6.090304835
58	6.055341775
59	6.024138693
60	5.992101103
61	5.955742903
62	5.928959459
63	5.898870123
64	5.872856131
65	5.847245934
66	5.818361355
67	5.794302631
68	5.771232386
69	5.750973252
70	5.729984866
71	5.711360254
72	5.689086118
73	5.668644861
74	5.64938004
75	5.633213629
76	5.614555597
77	5.592940006
78	5.575257849
79	5.554658644
80	5.54052028
81	5.52735647
82	5.515187547
83	5.497014529
84	5.487798944
85	5.473118814
86	5.459355785
87	5.453362405
88	5.438899918
89	5.426524808
90	5.412626569
91	5.402578745
92	5.389817173
93	5.383388919
94	5.3696524
95	5.356349288
96	5.345837641
97	5.335085724
98	5.322529791
99	5.312341712
100	5.303085905
101	5.293665424
102	5.287652215
103	5.27995908
104	5.271869471
105	5.267178867
106	5.255576521
107	5.249576604
108	5.249145692
109	5.24359508
110	5.235271032
111	5.226378529
112	5.220221109
113	5.21351872
114	5.205764177
115	5.200530118
116	5.190128324
117	5.185608293
118	5.179841249
119	5.170864652
120	5.166103701
121	5.158632735
122	5.153875128
123	5.14835287
124	5.141846049
125	5.136578513
126	5.133071921
127	5.129014637
128	5.124842594
129	5.122048751
130	5.11336029
131	5.106943664
132	5.102537357
133	5.097382058
134	5.093945193
135	5.089296623
136	5.082733334
137	5.079222403
138	5.074921757
139	5.068040759
140	5.063212912
141	5.056570674
142	5.052504608
143	5.048487448
144	5.041328595
145	5.036671985
146	5.031829824
147	5.027062622
148	5.020310976
149	5.014973166
150	5.011498332
151	5.00412819
152	4.999204081
153	4.991568234
154	4.985492793
155	4.98037914
156	4.978371835
157	4.972472401
158	4.967183842
159	4.962116709
160	4.957321798
161	4.953139967
162	4.948893133
163	4.94456568
164	4.936153894
165	4.932466745
166	4.928229078
167	4.926110765
168	4.923474473
169	4.918794628
170	4.915813966
171	4.910845236
172	4.908224148
173	4.90416636
174	4.90028126
175	4.896930198
176	4.891278481
177	4.88687947
178	4.88489259
179	4.881735648
180	4.878617014
181	4.871449253
182	4.866787312
183	4.863147912
184	4.857176081
185	4.85374706
186	4.851783352
187	4.846216672
188	4.844066272
189	4.841817151
190	4.839925452
191	4.834457472
192	4.829974069
193	4.8246689
194	4.82189137
195	4.815199019
196	4.809301695
197	4.803073273
198	4.801220195
199	4.795207565
200	4.789508946
201	4.786493725
202	4.781451754
203	4.779285579
204	4.776673192
205	4.771083553
206	4.768333462
207	4.766528681
208	4.764804938
209	4.76114928
210	4.759155134
211	4.751966065
212	4.747519336
213	4.742706037
214	4.737798903
215	4.735290089
216	4.732415297
217	4.727118061
218	4.722559776
219	4.717089616
220	4.715101525
221	4.708433354
222	4.703671623
223	4.699857931
224	4.698264729
225	4.695562551
226	4.692231952
227	4.688765587
228	4.687295723
229	4.684469501
230	4.681208822
231	4.675407073
232	4.673306593
233	4.671494158
234	4.667742228
235	4.665957691
236	4.660756937
237	4.659195761
238	4.654768319
239	4.649376077
240	4.642578925
241	4.639651881
242	4.634260086
243	4.631921195
244	4.629676593
245	4.627081819
246	4.625443996
247	4.623455222
248	4.619651035
249	4.614278041
250	4.610146924
251	4.608211205
252	4.607695864
253	4.604894098
254	4.604468778
255	4.598391136
256	4.592935545
257	4.591110805
258	4.588453129
259	4.584895934
260	4.584571602
261	4.581932282
262	4.574584061
263	4.574163672
264	4.568699522
265	4.566527866
266	4.564394471
267	4.557743883
268	4.555214523
269	4.55289542
270	4.547995488
271	4.543136508
272	4.538767354
273	4.534932486
274	4.530562047
275	4.5302891
276	4.527274566
277	4.523578721
278	4.523317692
279	4.52096148
280	4.517940604
281	4.517554749
282	4.517280682
283	4.513774612
284	4.509643704
285	4.505557968
286	4.501229441
287	4.497251562
288	4.492360906
289	4.490415967
290	4.487999571
291	4.485937025
292	4.482300526
293	4.478058059
294	4.47422016
295	4.470846554
296	4.466895542
297	4.464461991
298	4.462519724
299	4.461499749
300	4.458883566
301	4.452536159
302	4.45133819
303	4.447168594
304	4.444931618
305	4.439322954
306	4.437957262
307	4.431413382
308	4.429459089
309	4.425784675
310	4.423862021
311	4.418190977
312	4.412773256
313	4.410927517
314	4.405989294
315	4.405628441
316	4.40317755
317	4.39984047
318	4.393901771
319	4.390621677
320	4.386446997
321	4.382186727
322	4.380206799
323	4.375750459
324	4.372355242
325	4.369392202
326	4.368437132
327	4.367869827
328	4.367588621
329	4.364350281
330	4.360377707
331	4.357271801
332	4.354173699
333	4.350926696
334	4.350708852
335	4.349306284
336	4.345980265
337	4.339785875
338	4.336652707
339	4.33492606
340	4.331756383
341	4.327035062
342	4.325165679
343	4.323692637
344	4.321753063
345	4.318877243
346	4.313425268
347	4.310728244
348	4.306017615
349	4.303529608
350	4.299132724
351	4.297138177
352	4.294391279
353	4.291572461
354	4.288549453
355	4.283201083
356	4.279113307
357	4.278314445
358	4.276847961
359	4.274982187
360	4.269994714
361	4.268738921
362	4.265836449
363	4.261926838
364	4.258962275
365	4.257166543
366	4.254200692
367	4.251152632
368	4.248331006
369	4.244761752
370	4.241570691
371	4.236808908
372	4.233611266
373	4.230203832
374	4.226580834
375	4.223954047
376	4.221049444
377	4.220137031
378	4.215474643
379	4.211665911
380	4.209716889
381	4.208026759
382	4.206763573
383	4.203230572
384	4.198275835
385	4.197554163
386	4.197331406
387	4.192998709
388	4.190828181
389	4.190233781
390	4.190041247
391	4.187090759
392	4.183703841
393	4.181099076
394	4.179971695
395	4.179065581
396	4.178868113
397	4.178697513
398	4.17684625
399	4.173351884
400	4.16867814
401	4.166936722
402	4.163901119
403	4.163016112
404	4.159482134
405	4.156437361
406	4.155225413
407	4.154102778
408	4.154043733
409	4.151035942
410	4.149369131
411	4.146169512
412	4.144724065
413	4.143851612
414	4.140809979
415	4.137917282
416	4.135865788
417	4.133806865
418	4.13008694
419	4.126485706
420	4.126306077
421	4.124667164
422	4.122132291
423	4.121885788
424	4.121404419
425	4.119311402
426	4.118822037
427	4.115157307
428	4.113599282
429	4.113112513
430	4.110027009
431	4.106537419
432	4.106389471
433	4.106308802
434	4.103220775
435	4.100769677
436	4.098090729
437	4.095064007
438	4.093548269
439	4.089309383
440	4.0891851
441	4.086286207
442	4.082312215
443	4.082248192
444	4.078147204
445	4.076847993
446	4.075119056
447	4.074880892
448	4.073230539
449	4.069794909
450	4.066659993
451	4.066036612
452	4.063263729
453	4.063124738
454	4.059619
455	4.056320949
456	4.05619359
457	4.052300276
458	4.049704264
459	4.048074337
460	4.04632429
461	4.041190476
462	4.036142604
463	4.03369591
464	4.031044519
465	4.028251274
466	4.026428801
467	4.022765632
468	4.019284632
469	4.018133591
470	4.018000317
471	4.014803963
472	4.009735382
473	4.005476026
474	4.004210754
475	4.001931878
476	4.000079097
477	3.99830681
478	3.995813846
479	3.992900721
480	3.990813999
481	3.987776977
482	3.985484265
483	3.983708138
484	3.981089198
485	3.978712893
486	3.9772906
