iter	Passed	Remaining
0	0	57
1	1	49
2	1	47
3	1	45
4	2	48
5	3	48
6	3	48
7	4	48
8	4	47
9	5	46
10	5	46
11	6	45
12	6	45
13	7	45
14	7	44
15	8	44
16	8	43
17	9	43
18	10	42
19	10	42
20	11	41
21	11	41
22	12	41
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	21	31
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	21
59	32	21
60	32	20
61	32	20
62	33	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	49	1
98	49	0
99	50	0
